sample_code;cna ;pba
1011;0;3.284
1012;0;1.81
1013;0;11.767
1014;0;0
1015;0.428;7.434
1016;0;1.893
1021;0;1.593
1022;0.294;7.719
1023;0;2.015
1024;0;1.173
1025;0;0.476
1026;0;10.415
1031;0;3.377
1032;0;22.125
1033;0;0.007
1034;0;0
1035;0;0
1036;0;0.241
1041;2.726;4.429
1042;1.229;12.058
1043;0;2.237
1044;0.186;0.777
1045;0.173;0
1046;0;1.104
1051;0;5.098
1052;0.33;0
1053;0;3.538
1054;0.127;1.088
1055;0;0.49
1056;0;0.846
1061;0;9.621
1062;0;16.211
1063;0;10.249
1064;0.158;5.913
1065;0;0.013
1066;0;2.2
1071;0;0
1072;0.317;4.833
1073;0;8.596
1074;0;0.095
1075;0;0
1076;0;1.457
1081;1.322;1.733
1082;0;4.003
1083;0;8.362
1084;0.041;1.298
1085;0;1.451
1086;0;1.339
1091;0.049;0
1092;0;12.752
1093;0;0.599
1094;0.416;0
1095;0;0.087
1096;0;0.612
1101;0;0
1102;0;1.961
1103;0;3.833
1104;0;0
1105;0;0
1106;0;0.035
1111;1.082;13.305
1112;0;6.507
1113;0.938;0.534
1114;0.309;2.629
1115;0;0.019
1116;0;0.697
1121;0;2.152
1122;1.162;0
1123;0;6.094
1124;0.669;4.788
1125;0;5.948
1126;0;0.705
1131;0;1.664
1132;0;0
1133;0;1.351
1134;0;0.451
1135;0;0.291
1136;0;0.131
1141;0;5.239
1142;0;0
1143;0;2.064
1144;0;1.103
1145;0.382;2.075
1146;0;1.036
1151;0;1.967
1152;0;2.588
1153;0;5.472
1154;0;0.354
1155;0;1.119
1156;0;1.895
1161;0;3.085
1162;0;0
1163;0.025;4.873
1164;0;0.48
1171;0;1.308
1172;0.096;0
1173;0;0.667
1174;0;0.339
1175;0.699;1.635
1176;0.055;0
1181;7.747;6.455
1182;0;0.587
1183;0.147;2.849
1184;0;0.858
1185;0.023;1.516
1186;0;0.62
1191;0.242;4.21
1192;0;0.869
1193;0;0
1194;0;2.792
1201;0;6.015
1202;0.033;2.116
1203;0;2.956
1204;0;0.095
1205;0.429;1.294
1206;0;6.049
1211;0;12.897
1212;0;6.145
1213;0;13.9
1214;0;0
1215;0;0.529
1216;0;2.066
1221;0;1.974
1222;0;8.061
1223;0.074;2.292
1224;0;0
1225;0;0
1226;0;0.62
1231;0;5.549
1232;0;1.664
1233;0;0.879
1234;0;0.865
1235;0;0.783
1236;0;0.959
1241;0.374;20.646
1242;0;14.248
1243;0;1.016
1244;0.099;0
1245;0;0
1246;0.386;1.755
1251;0;0
1252;0;1.799
1253;0;0
1254;0;0.064
1261;0;5.424
1262;0.175;3.329
1263;0;1.779
1264;0;0.381
1265;0.324;2.342
1271;0.75;12.877
1272;0.178;0
1273;0;1.982
1274;0;2.92
1275;0;0
1276;0;0.511
1281;0.02;0
1282;0.132;0
1283;0;17.865
1291;0.314;1.764
1292;0;1.942
1293;0;0.406
1294;0;0.215
1295;0.05;2.086
1296;0;0.745
1301;0.432;0.597
1302;0;2.386
1303;1.711;4.472
1311;0;0
1312;0;1.327
1313;0;2.566
1314;0.072;2.995
1315;0;0.077
1316;0;1.888
1321;0.125;10.209
1322;0.056;0.687
1323;0;6.237
1324;0.341;2.717
1325;0.015;0.267
1326;0;1.649
1331;0;11.367
1332;0;0.114
1333;0;0.877
1334;0.05;0
1335;0.076;0.518
1336;0.224;2.39
1341;0;3.571
1342;0;7.689
1343;0;1.788
1344;0;1.108
1345;0.199;0.519
1346;0;3.983
1351;3.112;1.01
1352;0.442;7.327
1353;0.209;42.851
1354;0;0
1355;0;2.007
1356;0;1.148
1361;0.356;3.329
1362;0;0
1363;0;26.062
1364;0;3.216
1365;0;0.247
1366;0;0.287
1371;0;4.421
1372;0.134;7.102
1373;0.528;17.506
1374;0.281;5.09
1375;0;5.697
1376;0;2.31
1381;0;0
1382;0;2.472
1383;0.246;17.489
1384;0;3.523
1385;0;2.053
1386;0;4.18
1391;0;2.129
1392;0;9.999
1393;0;8.885
1394;0;2.719
1395;0.359;4.51
1396;0;3.014
1401;0.054;0.206
1402;0;1.809
1403;0.661;8.972
1404;0.176;1.197
1405;0;3.067
1406;0.023;8.039
1411;0.203;1.755
1412;0.027;0
1413;0;1.529
1414;0;1.401
1415;0;1.367
1416;0;0
1421;0;3.362
1422;0.007;3.596
1423;0.093;14.783
1431;2.148;2.783
1432;0.114;1.586
1433;0;5.548
1434;0;0
1435;0.023;0.437
1436;0;0.51
1441;0;0
1442;0.091;0
1443;0.034;3.323
1451;0;0.594
1452;0.144;0.668
1453;0;2.014
1454;0.071;1.535
1455;0;0.135
1456;0.465;0.121
1461;0;2.269
1462;0.211;9.541
1463;0;4.168
1471;0;3.019
1472;0;3.731
1473;0;0
1474;0;0.842
1475;0;0
1476;0;0.832
